variant,condition,successes,n,rate,ci_low,ci_high
pi05_baseline,no-history,78,450,0.17333333333333334,0.14116231915259844,0.211034570687381
perceptual-framesamp-modul,no-history,82,450,0.18222222222222223,0.14929452434543533,0.22052966100910248
perceptual-framesamp-modul,k0,204,450,0.4533333333333333,0.40792574250488783,0.49953095604368075
perceptual-framesamp-modul,k1,173,450,0.3844444444444444,0.34065557485414194,0.43018958345659913
perceptual-framesamp-modul,k3,135,450,0.3,0.2594976919520132,0.34388815897042324
perceptual-framesamp-modul,k7,87,450,0.19333333333333333,0.15950328339887512,0.23235502134886063
perceptual-tokendrop-modul,no-history,77,450,0.1711111111111111,0.13913433567658998,0.20865573028474985
perceptual-tokendrop-modul,k0,159,450,0.35333333333333333,0.31057919225338626,0.3985704317564005
perceptual-tokendrop-modul,k1,139,450,0.3088888888888889,0.2679669883656279,0.3530461580713669
perceptual-tokendrop-modul,k3,106,450,0.23555555555555555,0.19868862582267455,0.27689933261921357
perceptual-tokendrop-modul,k7,89,450,0.19777777777777777,0.1635996620928026,0.23707229041221237
perceptual-framesamp-context,no-history,80,450,0.17777777777777778,0.14522442674573008,0.21578611085152857
perceptual-framesamp-context,k0,120,450,0.26666666666666666,0.22790839596596757,0.3093750967768749
perceptual-framesamp-context,k1,84,450,0.18666666666666668,0.1533723874137422,0.22526544569807483
perceptual-framesamp-context,k3,84,450,0.18666666666666668,0.1533723874137422,0.22526544569807483
perceptual-framesamp-context,k7,80,450,0.17777777777777778,0.14522442674573008,0.21578611085152857
perceptual-framesamp-expert,no-history,79,450,0.17555555555555555,0.1431923596171069,0.21341135410151207
perceptual-framesamp-expert,k0,122,450,0.27111111111111114,0.232104123680886,0.3139930168192357
perceptual-framesamp-expert,k1,94,450,0.2088888888888889,0.17387119689849434,0.24883487499971862
perceptual-framesamp-expert,k3,88,450,0.19555555555555557,0.16155057692712754,0.23471455169924788
perceptual-framesamp-expert,k7,88,450,0.19555555555555557,0.16155057692712754,0.23471455169924788
perceptual-tokendrop-context,no-history,62,450,0.13777777777777778,0.10898546808640659,0.17270223969533932
perceptual-tokendrop-context,k0,103,450,0.2288888888888889,0.1924634305606438,0.26990405624532554
perceptual-tokendrop-context,k1,86,450,0.19111111111111112,0.15745780464480463,0.22999367622429157
perceptual-tokendrop-context,k3,69,450,0.15333333333333332,0.12298850287794688,0.18954697205427617
perceptual-tokendrop-context,k7,59,450,0.13111111111111112,0.10302386394760654,0.16544337219822058
perceptual-tokendrop-expert,no-history,76,450,0.1688888888888889,0.13710844049223198,0.20627480159046824
perceptual-tokendrop-expert,k0,123,450,0.2733333333333333,0.23420390916211786,0.3163000552166434
perceptual-tokendrop-expert,k1,91,450,0.20222222222222222,0.16770311801746945,0.24178248224482474
perceptual-tokendrop-expert,k3,70,450,0.15555555555555556,0.12499881142055089,0.19194348739031178
perceptual-tokendrop-expert,k7,63,450,0.14,0.11097816923092434,0.17511636242946116
recurrent-ttt-expert,no-history,72,450,0.16,0.12902640551886324,0.1967295410492786
recurrent-ttt-expert,k0,81,450,0.18,0.14725849115144396,0.21815887032445425
recurrent-ttt-expert,k1,74,450,0.16444444444444445,0.13306304537038707,0.20150654895503398
recurrent-ttt-expert,k3,73,450,0.1622222222222222,0.1310436133405126,0.19911915710626885
recurrent-ttt-expert,k7,70,450,0.15555555555555556,0.12499881142055089,0.19194348739031178
recurrent-ttt-context,no-history,76,450,0.1688888888888889,0.13710844049223198,0.20627480159046824
recurrent-ttt-context,k0,69,450,0.15333333333333332,0.12298850287794688,0.18954697205427617
recurrent-ttt-context,k1,73,450,0.1622222222222222,0.1310436133405126,0.19911915710626885
recurrent-ttt-context,k3,79,450,0.17555555555555555,0.1431923596171069,0.21341135410151207
recurrent-ttt-context,k7,63,450,0.14,0.11097816923092434,0.17511636242946116
