variant,comparison,left_condition,right_condition,paired_units,left_rate,right_rate,diff,ci_low,ci_high,bootstrap_prob_diff_gt_0,bootstrap_prob_diff_lt_0
perceptual-framesamp-modul,k0_minus_no_history,k0,no-history,450,0.4533333333333333,0.18222222222222223,0.27111111111111114,0.22661111111111115,0.31555555555555553,1.0,0.0
perceptual-framesamp-modul,k1_minus_no_history,k1,no-history,450,0.3844444444444444,0.18222222222222223,0.20222222222222222,0.15777777777777777,0.24888888888888888,1.0,0.0
perceptual-framesamp-modul,k3_minus_no_history,k3,no-history,450,0.3,0.18222222222222223,0.11777777777777777,0.07777777777777778,0.15777777777777777,1.0,0.0
perceptual-framesamp-modul,k7_minus_no_history,k7,no-history,450,0.19333333333333333,0.18222222222222223,0.011111111111111112,-0.022222222222222223,0.044444444444444446,0.7217,0.2371
perceptual-framesamp-modul,k7_minus_k0,k7,k0,450,0.19333333333333333,0.4533333333333333,-0.26,-0.30666666666666664,-0.21555555555555556,0.0,1.0
perceptual-framesamp-modul,k3_minus_k0,k3,k0,450,0.3,0.4533333333333333,-0.15333333333333332,-0.19333333333333333,-0.11333333333333333,0.0,1.0
perceptual-framesamp-modul,k1_minus_k0,k1,k0,450,0.3844444444444444,0.4533333333333333,-0.06888888888888889,-0.10444444444444445,-0.035555555555555556,0.0,0.9999
perceptual-tokendrop-modul,k0_minus_no_history,k0,no-history,450,0.35333333333333333,0.1711111111111111,0.18222222222222223,0.14,0.22444444444444445,1.0,0.0
perceptual-tokendrop-modul,k1_minus_no_history,k1,no-history,450,0.3088888888888889,0.1711111111111111,0.13777777777777778,0.09777777777777778,0.17777777777777778,1.0,0.0
perceptual-tokendrop-modul,k3_minus_no_history,k3,no-history,450,0.23555555555555555,0.1711111111111111,0.06444444444444444,0.028888888888888888,0.1,0.9998,0.0001
perceptual-tokendrop-modul,k7_minus_no_history,k7,no-history,450,0.19777777777777777,0.1711111111111111,0.02666666666666667,-0.0044444444444444444,0.057777777777777775,0.9486,0.0384
perceptual-tokendrop-modul,k7_minus_k0,k7,k0,450,0.19777777777777777,0.35333333333333333,-0.15555555555555556,-0.19777777777777777,-0.11555555555555555,0.0,1.0
perceptual-tokendrop-modul,k3_minus_k0,k3,k0,450,0.23555555555555555,0.35333333333333333,-0.11777777777777777,-0.15777777777777777,-0.07994444444444525,0.0,1.0
perceptual-tokendrop-modul,k1_minus_k0,k1,k0,450,0.3088888888888889,0.35333333333333333,-0.044444444444444446,-0.08,-0.006666666666666667,0.0092,0.988
perceptual-framesamp-context,k0_minus_no_history,k0,no-history,450,0.26666666666666666,0.17777777777777778,0.08888888888888889,0.051111111111111114,0.12666666666666668,1.0,0.0
perceptual-framesamp-context,k1_minus_no_history,k1,no-history,450,0.18666666666666668,0.17777777777777778,0.008888888888888889,-0.022222222222222223,0.04,0.6843,0.27
perceptual-framesamp-context,k3_minus_no_history,k3,no-history,450,0.18666666666666668,0.17777777777777778,0.008888888888888889,-0.024444444444444446,0.044444444444444446,0.6656,0.2888
perceptual-framesamp-context,k7_minus_no_history,k7,no-history,450,0.17777777777777778,0.17777777777777778,0.0,-0.03333333333333333,0.03333333333333333,0.4755,0.4719
perceptual-framesamp-context,k7_minus_k0,k7,k0,450,0.17777777777777778,0.26666666666666666,-0.08888888888888889,-0.12672222222222218,-0.051111111111111114,0.0,1.0
perceptual-framesamp-context,k3_minus_k0,k3,k0,450,0.18666666666666668,0.26666666666666666,-0.08,-0.11555555555555555,-0.044444444444444446,0.0,1.0
perceptual-framesamp-context,k1_minus_k0,k1,k0,450,0.18666666666666668,0.26666666666666666,-0.08,-0.11333333333333333,-0.04888888888888889,0.0,1.0
perceptual-framesamp-expert,k0_minus_no_history,k0,no-history,450,0.27111111111111114,0.17555555555555555,0.09555555555555556,0.06,0.13111111111111112,1.0,0.0
perceptual-framesamp-expert,k1_minus_no_history,k1,no-history,450,0.2088888888888889,0.17555555555555555,0.03333333333333333,0.0022222222222222222,0.06444444444444444,0.9807,0.0134
perceptual-framesamp-expert,k3_minus_no_history,k3,no-history,450,0.19555555555555557,0.17555555555555555,0.02,-0.015555555555555555,0.057777777777777775,0.8373,0.1325
perceptual-framesamp-expert,k7_minus_no_history,k7,no-history,450,0.19555555555555557,0.17555555555555555,0.02,-0.013333333333333334,0.05333333333333334,0.8773,0.0946
perceptual-framesamp-expert,k7_minus_k0,k7,k0,450,0.19555555555555557,0.27111111111111114,-0.07555555555555556,-0.11333333333333333,-0.04,0.0,1.0
perceptual-framesamp-expert,k3_minus_k0,k3,k0,450,0.19555555555555557,0.27111111111111114,-0.07555555555555556,-0.11333333333333333,-0.03777777777777778,0.0,0.9999
perceptual-framesamp-expert,k1_minus_k0,k1,k0,450,0.2088888888888889,0.27111111111111114,-0.06222222222222222,-0.1,-0.024444444444444446,0.0004,0.9995
perceptual-tokendrop-context,k0_minus_no_history,k0,no-history,450,0.2288888888888889,0.13777777777777778,0.09111111111111111,0.057777777777777775,0.12444444444444444,1.0,0.0
perceptual-tokendrop-context,k1_minus_no_history,k1,no-history,450,0.19111111111111112,0.13777777777777778,0.05333333333333334,0.02,0.08888888888888889,0.9983,0.0012
perceptual-tokendrop-context,k3_minus_no_history,k3,no-history,450,0.15333333333333332,0.13777777777777778,0.015555555555555555,-0.017777777777777778,0.04888888888888889,0.8029,0.163
perceptual-tokendrop-context,k7_minus_no_history,k7,no-history,450,0.13111111111111112,0.13777777777777778,-0.006666666666666667,-0.042222222222222223,0.02666666666666667,0.3295,0.6217
perceptual-tokendrop-context,k7_minus_k0,k7,k0,450,0.13111111111111112,0.2288888888888889,-0.09777777777777778,-0.13333333333333333,-0.06222222222222222,0.0,1.0
perceptual-tokendrop-context,k3_minus_k0,k3,k0,450,0.15333333333333332,0.2288888888888889,-0.07555555555555556,-0.10888888888888888,-0.044444444444444446,0.0,1.0
perceptual-tokendrop-context,k1_minus_k0,k1,k0,450,0.19111111111111112,0.2288888888888889,-0.03777777777777778,-0.07111111111111111,-0.006666666666666667,0.0085,0.9879
perceptual-tokendrop-expert,k0_minus_no_history,k0,no-history,450,0.2733333333333333,0.1688888888888889,0.10444444444444445,0.06888888888888889,0.14,1.0,0.0
perceptual-tokendrop-expert,k1_minus_no_history,k1,no-history,450,0.20222222222222222,0.1688888888888889,0.03333333333333333,0.0,0.06444444444444444,0.9728,0.0211
perceptual-tokendrop-expert,k3_minus_no_history,k3,no-history,450,0.15555555555555556,0.1688888888888889,-0.013333333333333334,-0.051111111111111114,0.022222222222222223,0.2107,0.7533
perceptual-tokendrop-expert,k7_minus_no_history,k7,no-history,450,0.14,0.1688888888888889,-0.028888888888888888,-0.06222222222222222,0.0044444444444444444,0.0406,0.9477
perceptual-tokendrop-expert,k7_minus_k0,k7,k0,450,0.14,0.2733333333333333,-0.13333333333333333,-0.1711111111111111,-0.09555555555555556,0.0,1.0
perceptual-tokendrop-expert,k3_minus_k0,k3,k0,450,0.15555555555555556,0.2733333333333333,-0.11777777777777777,-0.15555555555555556,-0.08,0.0,1.0
perceptual-tokendrop-expert,k1_minus_k0,k1,k0,450,0.20222222222222222,0.2733333333333333,-0.07111111111111111,-0.10666666666666667,-0.035555555555555556,0.0001,0.9999
recurrent-ttt-expert,k0_minus_no_history,k0,no-history,450,0.18,0.16,0.02,-0.0022222222222222222,0.044444444444444446,0.9453,0.0357
recurrent-ttt-expert,k1_minus_no_history,k1,no-history,450,0.16444444444444445,0.16,0.0044444444444444444,-0.017777777777777778,0.02666666666666667,0.6269,0.301
recurrent-ttt-expert,k3_minus_no_history,k3,no-history,450,0.1622222222222222,0.16,0.0022222222222222222,-0.022222222222222223,0.024499999999999193,0.5487,0.3816
recurrent-ttt-expert,k7_minus_no_history,k7,no-history,450,0.15555555555555556,0.16,-0.0044444444444444444,-0.028888888888888888,0.02,0.3144,0.6156
recurrent-ttt-expert,k7_minus_k0,k7,k0,450,0.15555555555555556,0.18,-0.024444444444444446,-0.04888888888888889,0.0,0.0183,0.9716
recurrent-ttt-expert,k3_minus_k0,k3,k0,450,0.1622222222222222,0.18,-0.017777777777777778,-0.044444444444444446,0.008888888888888889,0.0794,0.8948
recurrent-ttt-expert,k1_minus_k0,k1,k0,450,0.16444444444444445,0.18,-0.015555555555555555,-0.04,0.008888888888888889,0.0953,0.8725
recurrent-ttt-context,k0_minus_no_history,k0,no-history,450,0.15333333333333332,0.1688888888888889,-0.015555555555555555,-0.04666666666666667,0.013333333333333334,0.1334,0.8332
recurrent-ttt-context,k1_minus_no_history,k1,no-history,450,0.1622222222222222,0.1688888888888889,-0.006666666666666667,-0.035555555555555556,0.022222222222222223,0.286,0.6576
recurrent-ttt-context,k3_minus_no_history,k3,no-history,450,0.17555555555555555,0.1688888888888889,0.006666666666666667,-0.024444444444444446,0.03777777777777778,0.6476,0.3034
recurrent-ttt-context,k7_minus_no_history,k7,no-history,450,0.14,0.1688888888888889,-0.028888888888888888,-0.057777777777777775,0.0,0.0202,0.9724
recurrent-ttt-context,k7_minus_k0,k7,k0,450,0.14,0.15333333333333332,-0.013333333333333334,-0.044444444444444446,0.015555555555555555,0.1668,0.7948
recurrent-ttt-context,k3_minus_k0,k3,k0,450,0.17555555555555555,0.15333333333333332,0.022222222222222223,-0.006666666666666667,0.05333333333333334,0.9219,0.0594
recurrent-ttt-context,k1_minus_k0,k1,k0,450,0.1622222222222222,0.15333333333333332,0.008888888888888889,-0.02,0.03777777777777778,0.709,0.2417
