variant,no-history_rate,k0_rate,k1_rate,k3_rate,k7_rate,k0_minus_no_history,k1_minus_no_history,k3_minus_no_history,k7_minus_no_history,k0_minus_k7,k0_minus_k3
perceptual-framesamp-context,0.17777777777777778,0.26666666666666666,0.18666666666666668,0.18666666666666668,0.17777777777777778,0.08888888888888888,0.00888888888888889,0.00888888888888889,0.0,0.08888888888888888,0.07999999999999999
perceptual-framesamp-expert,0.17555555555555555,0.27111111111111114,0.2088888888888889,0.19555555555555557,0.19555555555555557,0.09555555555555559,0.033333333333333354,0.020000000000000018,0.020000000000000018,0.07555555555555557,0.07555555555555557
perceptual-framesamp-modul,0.18222222222222223,0.4533333333333333,0.3844444444444444,0.3,0.19333333333333333,0.2711111111111111,0.2022222222222222,0.11777777777777776,0.0111111111111111,0.26,0.15333333333333332
perceptual-tokendrop-context,0.13777777777777778,0.2288888888888889,0.19111111111111112,0.15333333333333332,0.13111111111111112,0.09111111111111111,0.053333333333333344,0.015555555555555545,-0.006666666666666654,0.09777777777777777,0.07555555555555557
perceptual-tokendrop-expert,0.1688888888888889,0.2733333333333333,0.20222222222222222,0.15555555555555556,0.14,0.10444444444444442,0.033333333333333326,-0.013333333333333336,-0.02888888888888888,0.1333333333333333,0.11777777777777776
perceptual-tokendrop-modul,0.1711111111111111,0.35333333333333333,0.3088888888888889,0.23555555555555555,0.19777777777777777,0.18222222222222223,0.13777777777777778,0.06444444444444444,0.026666666666666672,0.15555555555555556,0.11777777777777779
pi05_baseline,0.17333333333333334,,,,,,,,,,
recurrent-ttt-context,0.1688888888888889,0.15333333333333332,0.1622222222222222,0.17555555555555555,0.14,-0.015555555555555572,-0.006666666666666682,0.006666666666666654,-0.02888888888888888,0.013333333333333308,-0.022222222222222227
recurrent-ttt-expert,0.16,0.18,0.16444444444444445,0.1622222222222222,0.15555555555555556,0.01999999999999999,0.004444444444444445,0.0022222222222222088,-0.004444444444444445,0.024444444444444435,0.01777777777777778
