variant,difficulty,successes,n,rate,ci_low,ci_high
pi05_baseline,easy,49,234,0.2094017094017094,0.1621721712159847,0.2660186919467253
pi05_baseline,hard,14,108,0.12962962962962962,0.07881199094174576,0.20589065995023
pi05_baseline,medium,15,108,0.1388888888888889,0.08600932681341278,0.2165757578062636
perceptual-framesamp-modul,easy,445,1170,0.3803418803418803,0.3529582538543948,0.4085087106832395
perceptual-framesamp-modul,hard,82,540,0.15185185185185185,0.12404862704642863,0.18457358942248434
perceptual-framesamp-modul,medium,154,540,0.2851851851851852,0.24872503924266987,0.3246801581530424
perceptual-tokendrop-modul,easy,383,1170,0.32735042735042735,0.3010651991572723,0.35476570681845726
perceptual-tokendrop-modul,hard,62,540,0.11481481481481481,0.09060400044336862,0.14446738799032235
perceptual-tokendrop-modul,medium,125,540,0.23148148148148148,0.19787844456637105,0.26887805217826927
perceptual-framesamp-context,easy,287,1170,0.2452991452991453,0.22150432930047334,0.27076106664391986
perceptual-framesamp-context,hard,61,540,0.11296296296296296,0.08895209355537208,0.1424417534765578
perceptual-framesamp-context,medium,100,540,0.18518518518518517,0.15468564318764175,0.22013231851297102
perceptual-framesamp-expert,easy,277,1170,0.23675213675213674,0.21328022472503724,0.2619470972577584
perceptual-framesamp-expert,hard,78,540,0.14444444444444443,0.1173037599659954,0.17660829089587315
perceptual-framesamp-expert,medium,116,540,0.21481481481481482,0.18225318143765196,0.25140544269113846
perceptual-tokendrop-context,easy,237,1170,0.20256410256410257,0.18052472069559303,0.22655030544081248
perceptual-tokendrop-context,hard,66,540,0.12222222222222222,0.09723294152453103,0.15254861251620436
perceptual-tokendrop-context,medium,76,540,0.14074074074074075,0.11394100376703648,0.17261596429130993
perceptual-tokendrop-expert,easy,268,1170,0.22905982905982905,0.20589008859899385,0.254002966818364
perceptual-tokendrop-expert,hard,74,540,0.13703703703703704,0.11058497765703416,0.16861690759779005
perceptual-tokendrop-expert,medium,81,540,0.15,0.12236005271069966,0.18258462235645223
recurrent-ttt-expert,easy,215,1170,0.18376068376068377,0.16261572646000047,0.20697553696089047
recurrent-ttt-expert,hard,74,540,0.13703703703703704,0.11058497765703416,0.16861690759779005
recurrent-ttt-expert,medium,81,540,0.15,0.12236005271069966,0.18258462235645223
recurrent-ttt-context,easy,213,1170,0.18205128205128204,0.16099177994004174,0.2051918686885296
recurrent-ttt-context,hard,69,540,0.12777777777777777,0.10222588000346215,0.1585882982425565
recurrent-ttt-context,medium,78,540,0.14444444444444443,0.1173037599659954,0.17660829089587315
